[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesClearRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesConstraintClass
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesViaSpan
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesGenClear
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesPartTech
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesConstVar
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesC2CClearRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesPkgTypeClearRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesVia
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: Block: RELAY_GROUP
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2018.04.10 22:31:25] [0000m.00s.687ms] [2] Diagnostic: BlockCheck: CDBImplBus
